Column1,Column2,Column3,Column4,,,,,,,,,,,,Application Engineer - 3D Printing,https://northeastern-csm.symplicity.com/students/app/jobs/detail/98c530c682752b7a6e3278a4a8e60430,DesktopMetal Inc.
Mechanical Engineering Co-op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/c9e5efe567fbec4b73360e93d7e0bace,Bose Corporation,https://northeastern-csm.symplicity.com/students/app/employers/1c60a7c949862c378eca2ac91c8b1a45/overview,,,,,,,,,,,,Product Development Co-op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/e99252f3febaa43237ea3b0cc615efed,Lumicell
Plastics Engineering Co-op—Rapid Design,https://northeastern-csm.symplicity.com/students/app/jobs/detail/adaf12021130b3df11a93e449bfb3b63,Bose Corporation,https://northeastern-csm.symplicity.com/students/app/employers/1c60a7c949862c378eca2ac91c8b1a45/overview,,,,,,,,,,,,Product Development Engineering Co-op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/ed8fba1ffc3c1a0ffa4196e6132285d8,Neptune Medical
Product Development - Mechanical Engineering Co-op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/936352d281413f4e73faeb950554b654,Boston Engineering Corporation,https://northeastern-csm.symplicity.com/students/app/employers/83d8bb23e91d9371eac6106b76788dd5/overview,,,,,,,,,,,,Electronics Integration & Test Co-Op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/848305bb82e513ac4164d9b413ac495a,Draper
Robotics and R&D - Mechanical Engineering Co-op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/6233906f2c9418fdecba37113cd0ea3d,Boston Engineering Corporation,https://northeastern-csm.symplicity.com/students/app/employers/83d8bb23e91d9371eac6106b76788dd5/overview,,,,,,,,,,,,Mechanical Engineering Coop - Boston,https://northeastern-csm.symplicity.com/students/app/jobs/detail/542b6af0a540ccd3cc509375c00afef0,"Sonos, Inc."
Quality Engineering Co-op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/4a6d8132ce74e456522517a56bb98654,Boston Scientific Corporation,https://northeastern-csm.symplicity.com/students/app/employers/af4f2d4432b3241cd642ab9166544e77/overview,,,,,,,,,,,,Additive Manufacturing Technician,https://northeastern-csm.symplicity.com/students/app/jobs/detail/ff4d12c78426e782b16d49670a96ac33,SI2 Technologies
R&D Engineering Co-op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/c4cc91461b3b12fafe4a1d48c9176a6a,Boston Scientific Corporation,https://northeastern-csm.symplicity.com/students/app/employers/af4f2d4432b3241cd642ab9166544e77/overview,,,,,,,,,,,,Mechanical Engineering & System Packaging Summer Intern,https://northeastern-csm.symplicity.com/students/app/jobs/detail/93cf9b8ee2e44334b492af09a8e56439,Draper
Systems Engineering Co-op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/22592d74c41040d5005fb4614fc758d9,Boston Scientific Corporation,https://northeastern-csm.symplicity.com/students/app/employers/af4f2d4432b3241cd642ab9166544e77/overview,,,,,,,,,,,,Sensor Systems Integration and Test Intern,https://northeastern-csm.symplicity.com/students/app/jobs/detail/6d570f76b7ff527d85f5b5daae07fc6d,Draper
Industrial / Mechanical Engineer Co-op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/e80bd317440ad305bcf43c65d0680f49,Burn Design Lab,https://northeastern-csm.symplicity.com/students/app/employers/6154f5e448aa4e765ea2cd6f7d839b18/overview,,,,,,,,,,,,(Fall) Product Development Co-op: June to December 2023,https://northeastern-csm.symplicity.com/students/app/jobs/detail/550a542e312fa2455e5ced40f814edd6,SharkNinja Operating LLC
Mechanical Engineering Co-op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/5108e27433a6ff91df44a42e44509e04,"Coravin, Inc.",https://northeastern-csm.symplicity.com/students/app/employers/7c47ee00c167cdc5c048d688d87d1699/overview,,,,,,,,,,,,(Fall) Quality Engineer Co-op: June to December 2023,https://northeastern-csm.symplicity.com/students/app/jobs/detail/b8351cac2065138681353296540b20bb,SharkNinja Operating LLC
Mechanical Engineer (Co-op),https://northeastern-csm.symplicity.com/students/app/jobs/detail/7d577ebf81cdd9e3477c54a54cda4db5,"Delsys, Inc",https://northeastern-csm.symplicity.com/students/app/employers/b5ce074302d0cd010fdb69b7a315a0f0/overview,,,,,,,,,,,,Coatings Engineer - Product Development,https://northeastern-csm.symplicity.com/students/app/jobs/detail/166205e5154126f022675f39ad2c596c,Liquiglide Inc.
Application Engineer - 3D Printing,https://northeastern-csm.symplicity.com/students/app/jobs/detail/98c530c682752b7a6e3278a4a8e60430,DesktopMetal Inc.,https://northeastern-csm.symplicity.com/students/app/employers/eef02fe697a8078823afa7c0cb1a40f6/overview,,,,,,,,,,,,Mechanical Engineering Co-op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/ef63754992172f80dae354c53141710c,Berkshire Grey
Co-Op - Mechanical Engineer,https://northeastern-csm.symplicity.com/students/app/jobs/detail/3b2107d36e459677bb00046f1091598b,DesktopMetal Inc.,https://northeastern-csm.symplicity.com/students/app/employers/eef02fe697a8078823afa7c0cb1a40f6/overview,,,,,,,,,,,,Mechanical Engineering Co-op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/65c9d6bc254024955b752f0d121ffa92,Embecta
Materials Engineer ,https://northeastern-csm.symplicity.com/students/app/jobs/detail/4d747f206bcb73a46619aede13687b61,DesktopMetal Inc.,https://northeastern-csm.symplicity.com/students/app/employers/eef02fe697a8078823afa7c0cb1a40f6/overview,,,,,,,,,,,,Mechatronics Engineering Co-op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/66ea4f817adc5ec15f1292520fd2b90d,Berkshire Grey
Quality Engineering Co-op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/93d342cf04784e8263a35774a21f661c,Draper,https://northeastern-csm.symplicity.com/students/app/employers/4c8003d660f735b4b246896c73f3b8da/overview,,,,,,,,,,,,Associate Engineer,https://northeastern-csm.symplicity.com/students/app/jobs/detail/7679b194c6a48dfda2c4502ca257b42a,Hypertherm
Electronics Integration & Test Co-Op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/848305bb82e513ac4164d9b413ac495a,Draper,https://northeastern-csm.symplicity.com/students/app/employers/4c8003d660f735b4b246896c73f3b8da/overview,,,,,,,,,,,,Mechanical Applications Engineer Co-Op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/0e7508589bdc0652b0e2a43245db0dc3,ITW / Instron
Mechanical Engineering & System Packaging Summer Intern,https://northeastern-csm.symplicity.com/students/app/jobs/detail/93cf9b8ee2e44334b492af09a8e56439,Draper,https://northeastern-csm.symplicity.com/students/app/employers/4c8003d660f735b4b246896c73f3b8da/overview,,,,,,,,,,,,Mechanical Engineer Co-Op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/f6902fdcb5ec917b6860f0f8c9ad3387,Light Force - LightForce Orthodontics
Sensor Systems Integration and Test Intern,https://northeastern-csm.symplicity.com/students/app/jobs/detail/6d570f76b7ff527d85f5b5daae07fc6d,Draper,https://northeastern-csm.symplicity.com/students/app/employers/4c8003d660f735b4b246896c73f3b8da/overview,,,,,,,,,,,,Mechanical Engineering Co-op - Seed stage startup,https://northeastern-csm.symplicity.com/students/app/jobs/detail/2ccd4a4ea80df4b9ec8d54b6cbdff757,Parallel Fluidics
Electro-Mechanical Fall Co-Op Student,https://northeastern-csm.symplicity.com/students/app/jobs/detail/d7ab8d65566cd85dd133701bd27fed3e,Draper,https://northeastern-csm.symplicity.com/students/app/employers/4c8003d660f735b4b246896c73f3b8da/overview,,,,,,,,,,,,Electro-Mechanical Fall Co-Op Student,https://northeastern-csm.symplicity.com/students/app/jobs/detail/d7ab8d65566cd85dd133701bd27fed3e,Draper
Optics-Physics Sensor Engineering Fall Co-Op Student,https://northeastern-csm.symplicity.com/students/app/jobs/detail/c3056b28f474587be665d7f08a06b93b,Draper,https://northeastern-csm.symplicity.com/students/app/employers/4c8003d660f735b4b246896c73f3b8da/overview,,,,,,,,,,,,Mechanical Engineer Co-op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/dc07c6c9311dc0d29094221cc7116484,Anduril Industries
Mechanical Engineer 2023 Co-Op program,https://northeastern-csm.symplicity.com/students/app/jobs/detail/d8f963ff96a21639e3b1604d2dca7b88,"Droplette, Inc",https://northeastern-csm.symplicity.com/students/app/employers/351cb101fa6339d80ccaf1dc59b205c2/overview,,,,,,,,,,,,Optics-Physics Sensor Engineering Fall Co-Op Student,https://northeastern-csm.symplicity.com/students/app/jobs/detail/c3056b28f474587be665d7f08a06b93b,Draper
Mechanical Engineering Co-op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/65c9d6bc254024955b752f0d121ffa92,Embecta,https://northeastern-csm.symplicity.com/students/app/employers/912c27627aa0c1453d858f1a4c18ff33/overview,,,,,,,,,,,,Product Development - Mechanical Engineering Co-op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/936352d281413f4e73faeb950554b654,Boston Engineering Corporation
"Mechanical Engineering Co-op, Product Development",https://northeastern-csm.symplicity.com/students/app/jobs/detail/ce626147216ab51d3dd8e9acba21b38d,"Emphysys, Inc.",https://northeastern-csm.symplicity.com/students/app/employers/9c16f60bd96edadb450ec7ae08bf21af/overview,,,,,,,,,,,,Robotics and R&D - Mechanical Engineering Co-op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/6233906f2c9418fdecba37113cd0ea3d,Boston Engineering Corporation
Mechanical Design Co-op (Product Development),https://northeastern-csm.symplicity.com/students/app/jobs/detail/a723744dae9067d9ed4d41caaa4963db,Fikst Product Development,https://northeastern-csm.symplicity.com/students/app/employers/aea8409957fcbf006242cf01d86be283/overview,,,,,,,,,,,,3D Printing Process Engineering Co-Op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/db93721435e164f79d60cfbc808462ca,Inkbit
Engineering Co-op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/24a9def5cb4e10038346005e238497a8,Fluent BioSciences Inc,https://northeastern-csm.symplicity.com/students/app/employers/2413f90992c08f90ee23f212a272f912/overview,,,,,,,,,,,,Instron - Custom Product Design Engineer Co-op High Force,https://northeastern-csm.symplicity.com/students/app/jobs/detail/0bb2d4423f9c3a34a5970b9607bc81bd,ITW / Instron
Mechanical Engineering Intern,https://northeastern-csm.symplicity.com/students/app/jobs/detail/3b30f3d562dc6f2d05f9dd3e603c8937,Formlabs Inc.,https://northeastern-csm.symplicity.com/students/app/employers/28e6eaf7eb16bb4a7107cee8c901e1dc/overview,,,,,,,,,,,,Mechanical Engineer Coop,https://northeastern-csm.symplicity.com/students/app/jobs/detail/62150103ef3ec831e2708a3771cfeca6,Inkbit
Materials Engineering Co-op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/8cbfb6bd8f53182bbefecb665352adca,Fortify,https://northeastern-csm.symplicity.com/students/app/employers/7e26461de52d6a4c0f4cdb683a2844e0/overview,,,,,,,,,,,,Tesla Internship Program - Fall 2023,https://northeastern-csm.symplicity.com/students/app/jobs/detail/3217920bdc5997c7a54250e899f701c9,"Tesla, Inc."
Mechanical Engineering Co-op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/054625a4af9c767d7be32ef15b286bb4,Fortify,https://northeastern-csm.symplicity.com/students/app/employers/7e26461de52d6a4c0f4cdb683a2844e0/overview,,,,,,,,,,,,Amazon Robotics - Hardware Co-op -  July to Dec 2023,https://northeastern-csm.symplicity.com/students/app/jobs/detail/e2f75f140e266d49c28ae30149b6a99b,Amazon Robotics
UAV/Robotics Engineering Co-op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/59f725aa3a11b5227354ba2169bcf7ee,GreenSight Inc,https://northeastern-csm.symplicity.com/students/app/employers/379afe3cf845db0fea94efffb1a3b279/overview,,,,,,,,,,,,Engineering Co-op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/65c016df0883913ab9d54e749627b5ce,YourBio Health
Robotic Test Engineer Co-op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/edb551c813e741c402f17626d9193ede,"HighRes Biosolutions, Inc.",https://northeastern-csm.symplicity.com/students/app/employers/785b76d0321044615bddd0cb48a7a50a/overview,,,,,,,,,,,,Mechanical Engineering Co-op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/8708717368cbaf73be35d77bdb80e3ab,Novatio Engineering Incorporated
Mechanical Engineering Co-op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/6a1ecdd61e73a7a30320795bd5b0917a,Honeybee Robotics,https://northeastern-csm.symplicity.com/students/app/employers/4ca332ffc03f1680350f6c5ab7a89a94/overview,,,,,,,,,,,,Mechanical Engineer,https://northeastern-csm.symplicity.com/students/app/jobs/detail/f1644d31d412b6a64869994293b3b0ce,MORSE
Metal Additive Manufacturing Co-op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/af5d087de7d15dcf00739b5eea6d400a,HRL Laboratories LLC,https://northeastern-csm.symplicity.com/students/app/employers/16713250aad1b3ece0170ba36f2073aa/overview,,,,,,,,,,,,Mechanical Engineering Co-op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/6a1ecdd61e73a7a30320795bd5b0917a,Honeybee Robotics
Associate Engineer,https://northeastern-csm.symplicity.com/students/app/jobs/detail/7679b194c6a48dfda2c4502ca257b42a,Hypertherm,https://northeastern-csm.symplicity.com/students/app/employers/aa1c85b209680b2e5b7ead41a954b067/overview,,,,,,,,,,,,Mechanical Engineering Co-op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/5f38929cf85ac06bb9ac619c84c6b59f,Square Robot Inc.
Mechanical Engineering Intern,https://northeastern-csm.symplicity.com/students/app/jobs/detail/b75f9367b0e61af2ab2c205528afdb09,Illuminant Surgical,https://northeastern-csm.symplicity.com/students/app/employers/41e4184ab89e7c064cacffbf33a8d027/overview,,,,,,,,,,,,Bot Team Mechanical Engineering Co-op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/9424716567a169fb1ede115509719e2c,Alert Innovation
Mechanical Design Co-op (Chassis Team),https://northeastern-csm.symplicity.com/students/app/jobs/detail/1385fce33c0b96a47a4aae16ede3b390,Indigo Technologies,https://northeastern-csm.symplicity.com/students/app/employers/c5fd10e0812b993a94eb626bcdca9030/overview,,,,,,,,,,,,Mechanical Engineer Co-op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/9097dc964fc00074667102e8391eef44,Whoop Inc.
Mechanical Engineering co-op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/3a07721ce8064999de0989764f5b4b0a,Infinite Cooling,https://northeastern-csm.symplicity.com/students/app/employers/f9920a9bf11feadf650c12eb0bb3f2f5/overview,,,,,,,,,,,,"Co-op, Additive Design Engineer",https://northeastern-csm.symplicity.com/students/app/jobs/detail/118445c50428c4114d779fd676761497,Alloy Enterprises Inc
3D Printing Process Engineering Co-Op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/db93721435e164f79d60cfbc808462ca,Inkbit,https://northeastern-csm.symplicity.com/students/app/employers/5150d7cb39f7232597c2f31320072aaa/overview,,,,,,,,,,,,"Co-op, Mechanical Engineer ",https://northeastern-csm.symplicity.com/students/app/jobs/detail/dbb28803e134c16ca6a27af60ba8a808,Alloy Enterprises Inc
Mechanical Engineer Coop,https://northeastern-csm.symplicity.com/students/app/jobs/detail/62150103ef3ec831e2708a3771cfeca6,Inkbit,https://northeastern-csm.symplicity.com/students/app/employers/5150d7cb39f7232597c2f31320072aaa/overview,,,,,,,,,,,,Mechanical Engineering Intern,https://northeastern-csm.symplicity.com/students/app/jobs/detail/b75f9367b0e61af2ab2c205528afdb09,Illuminant Surgical
"Co-op, Mechanical Design Engineering",https://northeastern-csm.symplicity.com/students/app/jobs/detail/1591682a41595a0ff52f08903de82097,Insulet Corporation,https://northeastern-csm.symplicity.com/students/app/employers/ad4397d8e6a6125de9a3cffd3e8af84c/overview,,,,,,,,,,,,Spacecraft Engineering Co-op/Intern,https://northeastern-csm.symplicity.com/students/app/jobs/detail/ea2b04eda8bfc9466939a930fac27cec,Varda Space Industries
"Co-op, Post Market Engineer ",https://northeastern-csm.symplicity.com/students/app/jobs/detail/b2bba4686d8c424eb66356f4552304b9,Insulet Corporation,https://northeastern-csm.symplicity.com/students/app/employers/ad4397d8e6a6125de9a3cffd3e8af84c/overview,,,,,,,,,,,,UAV/Robotics Engineering Co-op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/59f725aa3a11b5227354ba2169bcf7ee,GreenSight Inc
Mechanical Applications Engineer Co-Op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/0e7508589bdc0652b0e2a43245db0dc3,ITW / Instron,https://northeastern-csm.symplicity.com/students/app/employers/29594283c9b62c52fbbf2a5f9cb1592d/overview,,,,,,,,,,,,2023 Fall Co-Op - Mechanical Engineer (Weapons) - Wilmington,https://northeastern-csm.symplicity.com/students/app/jobs/detail/9f59481b569b947e01ec5e42077abb86,Textron Systems
Instron - Custom Product Design Engineer Co-op High Force,https://northeastern-csm.symplicity.com/students/app/jobs/detail/0bb2d4423f9c3a34a5970b9607bc81bd,ITW / Instron,https://northeastern-csm.symplicity.com/students/app/employers/29594283c9b62c52fbbf2a5f9cb1592d/overview,,,,,,,,,,,,Plastics Engineering Co-op—Rapid Design,https://northeastern-csm.symplicity.com/students/app/jobs/detail/adaf12021130b3df11a93e449bfb3b63,Bose Corporation
"Engineering/Manufacturing Summer/Fall 2023 Co-op (Essex, VT)",https://northeastern-csm.symplicity.com/students/app/jobs/detail/e8d5afcf9e37f04617cc845fab957d2b,Keurig Dr Pepper,https://northeastern-csm.symplicity.com/students/app/employers/2a46900007642d80a626e30c4c7abb75/overview,,,,,,,,,,,,"2023 Fall Co-Op - Aerospace Engineer (Weapons) - Wilmington,",https://northeastern-csm.symplicity.com/students/app/jobs/detail/2410fb87041590906c39b305b8998eca,Textron Systems
Mechanical Engineer Co-Op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/f6902fdcb5ec917b6860f0f8c9ad3387,Light Force - LightForce Orthodontics,https://northeastern-csm.symplicity.com/students/app/employers/ff6f63b38864b22736f2e58ebcefb774/overview,,,,,,,,,,,,Automation Robotics Intern,https://northeastern-csm.symplicity.com/students/app/jobs/detail/eee4ff7af6828c9402fd3dc6a2ca7921,Advent Technologies Inc.
Coatings Engineer - Product Development,https://northeastern-csm.symplicity.com/students/app/jobs/detail/166205e5154126f022675f39ad2c596c,Liquiglide Inc.,https://northeastern-csm.symplicity.com/students/app/employers/b24deee38947f64102b79b3817ba8f8a/overview,,,,,,,,,,,,Mechanical Engineering Co-Op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/8641ee11acbae6763a5b470f90d09e83,Massachusetts Materials Technologies (MMT) LLC / Materials Engineering Group (MEG)
Product Development Co-op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/e99252f3febaa43237ea3b0cc615efed,Lumicell,https://northeastern-csm.symplicity.com/students/app/employers/47a34d39566f58eee38b4a07c497868b/overview,,,,,,,,,,,,"Hardware, Hardware Products, Hardware Engineering Internship",https://northeastern-csm.symplicity.com/students/app/jobs/detail/80251574cf80b69a41e117c41b54ea88,Apple
